Наименование ОВР,БВУ,Субъекты РФ,Адрес,
ОВР по Херсонской области Донского БВУ,Донское БВУ,,"Россия, Запорожская обл, Мелитопольский рн, г. Мелитополь, ул. Красноармейская, д. 46",
ОВР по Запорожской области Донского БВУ,Донское БВУ,,"Россия, Запорожская обл, Мелитопольский рн, г. Мелитополь, ул. Красноармейская, д. 46",
ОВР по Луганской Народной Республике Донского БВУ,Донское БВУ,,"ЛНР, г. Луганск, ул. Ленина, д. 49, (каб. 3)",
ОВР по Донецкой Народной Республике Донского БВУ,Донское БВУ,,"ДНР, г. Донецк, пр. Освобождения Донбасса, д. 8Б, (каб. 37)",
ОВР по Республике Дагестан Западно-Каспийского БВУ,Западно-Каспийское БВУ,Республика Дагестан,"г. Махачкала, ул. Абдулы Гаджиева, д.18а",
ОВР по Ямало-Ненецкому АО Нижне-Обского БВУ,Нижне-Обское БВУ,Ямало-Ненецкий автономный округ,"г. Салехард, ул. Ямальская, д. 12,  каб. 1",
ОВР по Ханты-мансийскому АО-Югре Нижне-Обского БВУ,Нижне-Обское БВУ,Ханты-Мансийский автономный округ-Югра,"г. Ханты-Мансийск, ул. Геологов, д. 81, каб.201",
ОВР по Челябинской области Нижне-Обского БВУ,Нижне-Обское БВУ,Челябинская область,"г. Челябинск, ул. Калинина, д. 13а, каб.1",
ОВР по Свердловской области Нижне-Обского БВУ,Нижне-Обское БВУ,Свердловская область,"г. Екатеринбург, ул. Мира, д. 23",
ОВР по Омской области Нижне-Обского БВУ,Нижне-Обское БВУ,Омская область,"г. Омск, ул. Степна, д. 220, каб. 303",
ОВР по Курганской области Нижне-Обского БВУ,Нижне-Обское БВУ,Курганская область,"г. Курган, ул. М. Горького, д. 41",
ОВР по Оренбургской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Оренбургская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Республике Татарстан Нижне-Волжское БВУ,Нижне-Волжское БВУ,Республика Татарстан,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Ульяновской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Ульяновская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Самарской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Самарская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Саратовской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Саратовская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Волгоградской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Волгоградская область,"г. Волгоград, ул. Профсоюзная, 30",
ОВР по Астраханской области и Республике Калмыкия Нижне-Волжское БВУ,Нижне-Волжское БВУ,Республика Калмыкия;Астраханская область," г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Республике Карелия Невско-Ладожского БВУ,Невско-Ладожское БВУ,Республика Карелия,"г. Петрозаводск, пр. Александра Невского, д. 28",
ОВР по Калининградской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,Калининградская область,"г. Калининград, пр. Победы, д.161, каб.401",
ОВР по Новгородской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,Новгородская область,"г. Великий Новгород, пр. Мира, д. 22/5",
ОВР по Псковской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,Псковская область,"г. Псков, ул. Стахановская, д.10а",
ОВР по Санкт-Петербургу и Ленинградской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,"Санкт-Петербург, город федерального назначения;Ленинградская область","Санкт-Петербург, Средний пр. В.О., д.26",
"ОВР по г. Москва, Московской и Тверской областям Московско-Окского БВУ",Московско-Окское  БВУ,"Тверская область;Московская область;Москва, город федерального назначения","г. Москва, ул. Верхняя Красносельская, д. 17А, стр. 1Б",
"ОВР по Брянской, Калужской и Смоленской областям Московско-Окского БВУ",Московско-Окское  БВУ,Смоленская область;Калужская область;Брянская область,"г. Брянск, ул. Калинина, д. 34",
"ОВР по Орловской, Рязанской и Тульской областям Московско-Окского БВУ",Московско-Окское  БВУ,Тульская область;Рязанская область;Орловская область,"г. Рязань, Московское шоссе, д.12",
ОВР по Магаданской области Ленского БВУ,Ленское БВУ,Магаданская область,"г. Магадан, ул. Пролетарская, д. 11",
ОВР по Республике Адыгея и Краснодарскому краю Кубанского БВУ,Кубанское БВУ,Республика Адыгея;Краснодарский край,"г. Краснодар, ул. Красная, д. 180-а",
ОВР по Карачаево–Черкесской республике Кубанского БВУ,Кубанское БВУ,Республика Карачаево-Черкесия,"г. Краснодар, ул. Красная, д. 180-а",
ОВР по Ставропольскому  краю Кубанского БВУ,Кубанское БВУ,Ставропольский край,"г. Краснодар, ул. Красная, д. 180-а",
ОВР по Кировской области Камского БВУ,Камское БВУ,Кировская область,"г. Киров, ул. Воровского, д. 78, каб.73",
ОВР по Удмуртской Республике Камского БВУ,Камское БВУ,Республика Удмуртия,"г. Ижевск, ул. Ухтомского, д. 24, каб. 412",
ОВР по Республике Башкортостан Камского БВУ,Камское БВУ,Республика Башкортостан,"г. Уфа, ул. Ленина, д.86, каб. 220",
ОВР по Пермскому краю Камского БВУ,Камское БВУ,Пермский край,"г. Пермь, ул. 25-го Октября, д. 28а, каб. 101",
ОВР по Чеченской Республике Западно-Каспийского БВУ,Западно-Каспийское БВУ,Республика Чечня,"г. Махачкала, ул. Абдулы Гаджиева, д.18а",
ОВР по Республике Северная Осетия-Алания Западно-Каспийского БВУ,Западно-Каспийское БВУ,Республика Северная Осетия-Алания,"г. Махачкала, ул. Абдулы Гаджиева, д.18а",
ОВР по Республике Ингушетия Западно-Каспийского БВУ,Западно-Каспийское БВУ,Республика Ингушетия,"г. Махачкала, ул. Абдулы Гаджиева, д.18а",
ОВР по Кабардино-Балкарской Республике Западно-Каспийского БВУ,Западно-Каспийское БВУ,Республика Кабардино-Балкария," г. Махачкала, ул. Абдулы Гаджиева, д.18а",
ОВР по Республике Бурятия Енисейского БВУ,Енисейское БВУ,Республика Бурятия,"г. Улан-Удэ, ул. Борсоева, 13 Б, каб. 201",
ОВР по Республике Хакасия и Республике Тыва Енисейского БВУ,Енисейское БВУ,Республика Хакасия;Республика Тыва (Тува),"г. Абакан, ул. Вяткина, д. 3, каб. 401",
ОВР по Иркутской области Енисейского БВУ,Енисейское БВУ,Иркутская область,"Иркутская область, Иркутский район, п. Новая Разводная, ул. Дальняя, д. 2, каб. 401",
ОВР по Красноярскому краю Енисейского БВУ,Енисейское БВУ,Красноярский край,"г. Красноярск, пр-кт Свободный, д. 72, каб. 302",
ОВР по Тамбовской области Донского БВУ,Донское БВУ,Тамбовская область,"г. Тамбов, ул. Монтажников, д. 6, каб. 15",
ОВР по Ростовской области Донского БВУ,Донское БВУ,Ростовская область,"г. Ростов-на-Дону, пр. М.Нагибина 14А, каб. 315",
ОВР по Воронежской и Липецкой Донского БВУ,Донское БВУ,Липецкая область;Воронежская область,"г. Воронеж, Московский пр., д. 64, каб. 53",
ОВР по Курской и Белгородской областям Донского БВУ,Донское БВУ,Курская область;Белгородская область,"г. Курск, ул. К. Маркса, д. 76",
ОВР по Республике Коми Двинско-Печорского БВУ,Двинско-Печорское БВУ,Республика Коми,"г. Архангельск, наб. Северной Двины, 56",
ОВР по Мурманской области Двинско-Печорского БВУ,Двинско-Печорское БВУ,Мурманская область,"г. Мурманск, ул. Софьи Перовской, д. 17, каб. 308",
ОВР по Вологодской области Двинско-Печорского БВУ,Двинско-Печорское БВУ,Вологодская область,"г. Вологда, ул. Зосимовская, д.65, каб. 412",
ОВР по Архангельской области и НАО Двинско-Печорского БВУ,Двинско-Печорское БВУ,Ненецкий автономный округ;Архангельская область,"г. Архангельск, наб. Северной Двины, д. 56",
ОВР по Томской области Верхне-Обского БВУ,Верхне-Обское БВУ,Томская область,"г. Томск, ул. Шевченко, д. 17",
ОВР по Кемеровской области Верхне-Обского БВУ,Верхне-Обское БВУ,Кемеровская область,"г. Кемерово, ул. Мирная д. 5",
ОВР по Новосибирской области Верхне-Обского БВУ,Верхне-Обское БВУ,Новосибирская область,"г. Новосибирск, ул. Немировича-Данченко, д.167",
ОВР по Алтайскому краю Верхне-Обского БВУ,Верхне-Обское БВУ,Алтайский край,"г. Барнаул, ул. Пролетарская, д.61",
ОВР по Республике Алтай Верхне-Обского БВУ,Верхне-Обское БВУ,Республика Алтай,"г. Горно-Алтайск, ул. Титова, д. 36",
ОВР по Пензенской области и Республике Мордовия Верхне-Волжского БВУ,Верхне-Волжское БВУ,Республика Мордовия;Пензенская область,"г. Нижний Новгород, ул. Рождественская, д. 38",
ОВР по Республике Марий Эл Верхне-Волжского БВУ,Верхне-Волжское БВУ,Республика Марий Эл,"г. Нижний Новгород, ул. Рождественская, д. 38",
ОВР по Чувашской Республике Верхне-Волжского БВУ,Верхне-Волжское БВУ,Республика Чувашия,"г. Нижний Новгород, ул. Рождественская, д. 38",
ОВР по Нижегородской области Верхне-Волжского БВУ,Верхне-Волжское БВУ,Нижегородская область,"г. Нижний Новгород, ул. Рождественская, д. 38",
ОВР по Владимирской и Ивановской областям Верхне-Волжского БВУ,Верхне-Волжское БВУ,Ивановская область;Владимирская область,"г. Нижний Новгород, ул. Рождественская, д. 38",
ОВР по Костромской и Ярославской областям Верхне-Волжского БВУ,Верхне-Волжское БВУ,Ярославская область;Костромская область,"г. Нижний Новгород, ул. Рождественская, д. 38",
ОВР по Приморскому краю Амурского БВУ,Амурское БВУ,Приморский край,"г. Владивосток, Океанский проспект, д. 29, каб. 331",
ОВР по Забайкальскому краю Амурского БВУ,Амурское БВУ,Забайкальский край,"г. Чита, ул. Амурская, д. 91/15, каб. 36",
ОВР по Камчатскому краю Амурского БВУ,Амурское БВУ,Камчатский край,"г. Петропавловск-Камчатский, ул. Карла Маркса, д. 29/1, каб. 321",
ОВР по Сахалинской области Амурского БВУ,Амурское БВУ,Сахалинская область,"г. Южно-Сахалинск, ул. Комсомольская, д. 213-А, каб. 7",
ОВР по Амурской области Амурского БВУ,Амурское БВУ,Амурская область,"г. Благовещенск, пер. Чудиновский, д.15, каб. 213",
ОВР по Хабаровскому краю и Еврейской автономной области  Амурского БВУ,Амурское БВУ,Хабаровский край;Еврейская автономная область,"г. Биробиджан, ул. Ленина, д.16, каб. 8",
